# TYPE ceph gauge
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641684462
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689458
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689546
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689548
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689564
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689568
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689573
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641689652
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641694503
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641699463
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641704465
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641709464
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641714465
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719530
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719560
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719610
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719624
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719633
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719663
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641719722
ceph{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603"} 1 1450641724464
# TYPE ceph_bytes gauge
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="0",type="available"} 1128499920896 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="0",type="used"} 1859894685696 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="0",type="total"} 2988394606592 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="1",type="available"} 1437833404416 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="1",type="used"} 1550561202176 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="1",type="total"} 2988394606592 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="2",type="available"} 1358007185408 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="2",type="used"} 2630093094912 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="2",type="total"} 3988100280320 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="3",type="available"} 667165253632 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="3",type="used"} 2321229352960 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="3",type="total"} 2988394606592 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="4",type="available"} 735283834880 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="4",type="used"} 3252816445440 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="4",type="total"} 3988100280320 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="5",type="available"} 1816565682176 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="5",type="used"} 2171534598144 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="5",type="total"} 3988100280320 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="6",type="available"} 830654808064 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="6",type="used"} 2168471973888 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="6",type="total"} 2999126781952 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="7",type="available"} 2133205651456 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="7",type="used"} 1854894628864 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="7",type="total"} 3988100280320 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="8",type="available"} 1975772135424 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="8",type="used"} 2012328144896 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="osd",osd="8",type="total"} 3988100280320 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.25",type="used"} 411262976 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.2b",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.2a",type="used"} 153423245395 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.24",type="used"} 428072960 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.2a",type="used"} 4194304 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.2b",type="used"} 153595964409 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.23",type="used"} 471105536 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="6.2d",type="used"} 8388654 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="7.2c",type="used"} 153964272158 1450641689458
ceph_bytes{fsid="446efdfe-7f0a-4a9a-b569-7a9b52058603",scope="pg",pgid="8.22",type="used"} 504659968 1450641689458
